id,class,path,pattern,condition
N-001,OBSERVED,docs/observations.md,"The user-namespace map was `0 1000 1`","CAPTURED; one sandbox mapping"
N-002,OBSERVED,docs/observations.md,"Supplementary-group changes were disabled","CAPTURED; namespace setgroups control"
N-003,OBSERVED,docs/observations.md,"Namespace-granted capabilities disappeared","CAPTURED; nested process had no mapped uid"
F-001,OBSERVED,docs/observations.md,"A legacy `mount` call returned unconditional `EPERM`","CAPTURED; exact syscall entry"
F-002,OBSERVED,docs/observations.md,"`fsopen` and `fsmount` created a detached mount","CAPTURED; one policy epoch"
F-003,OBSERVED,docs/observations.md,"`move_mount` could not attach it","CAPTURED; stage-specific result"
F-004,LIMIT,docs/observations.md,"A single `mount supported` Boolean is invalid","Bounded interpretation"
M-001,OBSERVED,docs/observations.md,"The stable writable set was `/tmp`, `/dev/shm`, `/workspace`, and `/state`","CAPTURED; one environment"
M-002,OBSERVED,docs/observations.md,"Detached-tree access failed","CAPTURED; path-use stage"
M-003,OPEN,docs/observations.md,"remains an `OPEN` reconstruction task","Policy implementation not attributed"
I-001,OBSERVED,docs/observations.md,"returned `EINVAL`, not","CAPTURED; unmapped ownership"
I-002,OBSERVED,docs/observations.md,"Ownership-neutral extraction succeeded","CAPTURED; metadata sidecar retained intent"
I-003,OBSERVED,docs/observations.md,"A self-referential package-cache symlink","CAPTURED; later whiteout fixture"
I-004,DESIGN,docs/capability-model.md,"Implement the complete layer contract","Required extractor behavior"
I-005,LIMIT,docs/capability-model.md,"must not be described as real ownership","Virtual metadata is not kernel DAC"
W-001,OBSERVED,docs/observations.md,"Unix-domain and UDP bind paths worked","CAPTURED; transport matrix"
W-002,OBSERVED,docs/observations.md,"TCP bind returned `EPERM`","CAPTURED; multiple address classes"
W-003,OBSERVED,docs/observations.md,"External TCP port 80 changed from denied to allowed","CAPTURED; time-varying policy"
D-001,OBSERVED,docs/observations.md,"their device nodes were","CAPTURED; driver did not imply exposure"
D-002,OBSERVED,docs/observations.md,"Character device 0:0 was not a valid capability witness","CAPTURED; whiteout special case"
D-003,OBSERVED,docs/observations.md,"A 500 MiB per-file ceiling terminated a VM launcher with `SIGXFSZ`","CAPTURED; resource ceiling"
D-004,OBSERVED,docs/observations.md,"A 64 MiB temporary filesystem produced short writes","CAPTURED; capacity failure"
T-001,OBSERVED,docs/observations.md,"Ptrace attachment was denied","CAPTURED; observer backend selection"
T-002,OBSERVED,docs/observations.md,"pass the listener descriptor to a supervisor through `SCM_RIGHTS`","CAPTURED; listener handoff"
T-003,OBSERVED,docs/observations.md,"`/proc/<pid>/mem` allowed argument reads","CAPTURED; blocked tracee"
T-004,OBSERVED,docs/observations.md,"injected through `SECCOMP_IOCTL_NOTIF_ADDFD`","CAPTURED; selected open emulation"
T-005,LIMIT,docs/observations.md,"already-denied syscalls invisible to the inner observer","Outer seccomp precedence"
T-006,DESIGN,docs/capability-model.md,"Emit begin, syscall, signal, exit, and summary events","Structured event contract"
T-007,OBSERVED,docs/observations.md,"iovec boundaries","CAPTURED; vector rewrite"
T-008,DESIGN,docs/capability-model.md,"Readiness is an event","Lifecycle invariant"
V-001,OBSERVED,docs/observations.md,"reached userspace in approximately 1.6 seconds","CAPTURED; one guest profile"
V-002,OBSERVED,docs/observations.md,"Eight 128 MiB guests reached their workload markers in 1.97 seconds total","CAPTURED; one fleet run"
V-003,OBSERVED,docs/observations.md,"A 76 MB migration snapshot resumed into three independent clones","CAPTURED; one snapshot"
V-004,OBSERVED,docs/observations.md,"containing `/dev/console`","CAPTURED; appended cpio repair"
V-005,DERIVED,docs/observations.md,"20.55x to 24.70x interval","LOCAL-DERIVATION; one CPU workload"
V-006,LIMIT,docs/observations.md,"It is not a general TCG slowdown factor","Workload-bound result"
V-007,LIMIT,docs/observations.md,"The boundary is the emulator process","TCG security boundary"
A-001,DESIGN,docs/architecture.md,"A weaker route cannot satisfy a stronger security requirement","Fail-closed selector"
A-002,DESIGN,docs/architecture.md,"All routes consume one content-addressed rootfs store","Shared image pipeline"
A-003,DESIGN,docs/architecture.md,"readiness fd or nonce protocol, never a fixed sleep","Lifecycle invariant"
A-004,OPEN,docs/open-questions.md,"The route architecture is `DESIGN-ONLY`","Implementation remains open"
